Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,target
4,2,1,8,0,14,130.0,14,38,37,9,9,-0.15023354710142717,1,0,0,1,1,0,-0.16073750925755798,0,0,-0.5088579941219874,9,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,5,-1.1405175075791347,0.34190180561961775,0,7.6,2.6,0.32,1
4,2,1,2,0,14,129.0,14,38,37,6,6,0.7637250619786984,0,0,0,1,0,0,-0.5649417100599008,0,0,-0.09789303720785829,8,0.43261925187811495,0.2834846422808396,0,0,-0.09393447363141155,10,-0.1380442583062086,0.24640961804464998,0,7.6,2.6,0.32,1
3,14,1,9,1,14,140.0,14,37,37,9,9,-0.48008327067921674,0,0,0,0,0,0,1.9950182283549371,0,0,-0.5088579941219874,6,0.10554394053510098,-0.003323500870789454,0,0,-0.5562906658171777,9,-0.8063597578214927,0.15091743046968215,0,12.7,3.7,-1.7,1
4,3,2,10,0,14,129.0,14,19,19,5,4,0.16587243799395526,0,0,0,1,0,1,-0.5649417100599008,0,0,-0.09789303720785829,7,0.10554394053510098,0.11959427476562288,0,0,-0.09393447363141155,10,0.19611349145143347,0.5567592276632953,0,10.8,1.4,1.74,1
4,2,3,16,0,14,138.0,14,1,1,4,8,0.11776935330552642,1,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,7,0.43261925187811495,0.8297858673315613,0,0,-0.09393447363141155,12,0.5302712412090755,0.6920398267278332,0,8.9,1.4,3.51,0
4,13,1,6,0,10,180.0,14,4,3,2,7,3.643038274043155,0,0,1,1,1,0,0.9171403595486896,0,0,-0.5088579941219874,6,-0.22153137080791296,0.7956420407658913,0,0,-0.5562906658171777,10,-0.47220200806385065,1.1440361812493471,0,13.9,-0.3,0.79,0
4,2,1,7,0,14,159.0,14,34,26,0,6,2.275536295043568,1,0,0,1,0,0,-0.6996764436606817,0,0,-0.09789303720785829,6,0.43261925187811495,0.9322173470285716,0,0,-0.09393447363141155,7,0.5302712412090755,0.8875714489051482,0,7.6,2.6,0.32,0
4,2,1,13,0,14,135.0,14,1,38,4,6,-0.3357740166139341,0,1,1,0,1,0,-0.5649417100599008,0,0,-0.09789303720785829,6,-0.22153137080791296,0.18105316258382922,0,0,-0.09393447363141155,6,0.19611349145143347,0.15091743046968215,0,8.9,1.4,3.51,1
4,14,1,0,0,14,133.1,14,37,37,3,8,0.2071036534411786,0,0,1,1,0,1,0.9171403595486896,0,0,-0.09789303720785829,6,-1.529832616179969,-2.1748708704474087,0,0,-0.09393447363141155,6,-1.4746752573367767,-1.9499106961796095,0,11.1,0.6,2.02,0
3,14,1,9,1,14,140.0,14,37,37,9,10,0.2071036534411786,0,0,0,1,0,0,1.4560792939518135,0,0,-0.5088579941219874,5,-1.529832616179969,-2.1748708704474087,0,0,-0.5562906658171777,5,-1.4746752573367767,-1.9499106961796095,0,9.4,-0.8,-3.12,0
